fighter_id,fighter_name,fighter_dob,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_wins,fighter_losses,fighter_draws,fighter_slpm,fighter_str_acc_%,fighter_sapm,fighter_str_def_%,fighter_td_avg,fighter_td_acc_%,fighter_td_def_%,fighter_sub_avg,fighter_url,median_knockdowns,median_sig_strike_atts,median_sig_strikes,median_tot_strike_atts,median_tot_strikes,median_takedown_atts,median_takedowns,median_clinch_atts,median_clinchs,median_ctrl_time,median_total_fight_time,median_submissions,median_reversals,median_head_strike_atts,median_head_strikes,median_body_strike_atts,median_body_strikes,median_leg_strike_atts,median_leg_strikes,median_dist_strike_atts,median_dist_strikes,median_ground_atts,median_grounds
387,Denys Bondar,1992-06-27,167.64,125.0,175.26,Orthodox,14,5,0,4.59,0.5,5.16,0.56,3.99,0.58,0.62,0.0,http://www.ufcstats.com/fighter-details/2526be54e6a0e62a,0,63,41,77,46,5,2,7,3,37.0,599,0,0,39,22,13,8,11,10,51,32,1,1
388,Luc Bondole,,187.96,205.0,,,5,2,2,3.35,0.51,2.04,0.62,0.0,0.0,0.0,1.8,http://www.ufcstats.com/fighter-details/8691881b31c16b88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,Tony Bonello,,187.96,185.0,,,16,3,1,0.62,0.33,12.62,0.1,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/702a72aa7a266d86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Gabriel Bonfim,1997-08-20,185.42,170.0,182.88,Orthodox,16,1,0,5.78,0.42,4.38,0.62,2.92,0.75,0.73,1.9,http://www.ufcstats.com/fighter-details/01641ba5df0c69b0,0.0,56.5,24.0,62.5,28.0,1.0,1.0,4.5,1.5,18.0,323.0,1.0,0.0,47.5,16.5,3.0,2.5,3.5,3.0,46.5,20.5,0.5,0.0
391,Ismael Bonfim,1995-12-28,172.72,155.0,180.34,Orthodox,20,4,0,5.8,0.54,3.16,0.7,1.07,0.33,0.76,0.0,http://www.ufcstats.com/fighter-details/eb393afdbe3293d5,0,49,34,53,38,2,1,5,5,30.0,437,0,0,30,16,17,13,3,3,39,24,1,1
392,Jesse Bongfeldt,1980-08-28,182.88,185.0,,Orthodox,16,5,1,2.91,0.62,1.01,0.5,1.51,0.33,0.33,0.0,http://www.ufcstats.com/fighter-details/934de214814b8ff4,0.0,46.5,29.0,64.0,44.0,3.0,1.0,5.0,4.5,158.0,597.0,0.0,1.0,36.0,19.5,5.5,5.5,5.0,4.0,19.0,7.5,22.5,17.0
393,Marcos Bonilla,,177.8,145.0,,,4,4,0,0.47,0.12,0.47,0.94,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/d311fbefff44a39b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,Stephan Bonnar,1977-04-04,193.04,205.0,200.66,Orthodox,15,9,0,2.76,0.38,3.01,0.52,1.32,0.4,0.6,1.0,http://www.ufcstats.com/fighter-details/c6a33ff198aaaeeb,0,74,33,109,59,5,2,14,9,234.0,900,0,0,50,20,7,4,3,2,27,10,5,4
395,Rogerio Bontorin,1992-04-25,165.1,125.0,170.18,Orthodox,16,4,0,2.63,0.52,3.27,0.5,2.9,0.6,0.51,1.0,http://www.ufcstats.com/fighter-details/07a2bdaa0afdd831,0.0,39.0,18.5,57.0,33.0,3.5,1.5,3.5,2.0,137.0,900.0,0.0,0.0,31.0,11.0,3.5,3.0,2.0,2.0,34.0,17.0,2.5,1.0
396,Ray Borg,1993-08-04,162.56,135.0,160.02,Orthodox,13,5,0,1.52,0.52,1.93,0.48,3.89,0.5,0.46,1.0,http://www.ufcstats.com/fighter-details/a4de54ea806fb525,0.0,44.5,23.0,72.0,45.0,5.0,2.5,6.5,5.0,358.0,900.0,0.5,0.0,35.5,13.5,7.5,7.0,1.0,1.0,21.0,5.5,8.5,7.0
397,Igor Borisov,,182.88,235.0,,Orthodox,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/0313bf497de9c470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Kevin Borjas,1997-12-06,165.1,125.0,172.72,Orthodox,9,3,0,4.92,0.4,6.7,0.49,0.0,0.0,0.61,0.0,http://www.ufcstats.com/fighter-details/34b96d52db1d26e6,0.0,126.5,46.5,128.0,48.0,2.5,0.0,4.0,0.5,10.5,647.5,0.0,0.5,107.5,33.0,11.0,7.0,8.0,6.5,124.0,45.5,1.0,0.5
399,Calen Born,1988-05-24,172.72,170.0,182.88,Switch,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/3c85e04b08a05751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,Caio Borralho,1993-01-16,185.42,185.0,190.5,Southpaw,16,1,0,2.91,0.6,2.06,0.6,1.99,0.63,0.76,0.5,http://www.ufcstats.com/fighter-details/4126a78111c0855a,0.0,49.5,32.5,84.5,57.5,1.5,1.5,0.5,1.0,221.5,868.0,0.0,0.0,36.0,21.0,9.0,5.0,4.0,4.0,31.5,14.5,6.0,4.0
401,Zachary Borrego,1996-07-18,187.96,185.0,198.12,Switch,3,1,0,0.0,0.0,1.94,0.33,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/b8fdb2903a2582a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,Viacheslav Borshchev,1992-01-08,180.34,155.0,175.26,Orthodox,7,4,1,5.18,0.58,4.49,0.54,0.0,0.0,0.35,0.0,http://www.ufcstats.com/fighter-details/19c591115a58982c,0.0,72.5,39.5,91.5,58.0,0.0,0.0,3.5,2.5,12.0,690.0,0.0,0.0,50.0,19.0,9.0,7.5,13.5,13.5,65.0,34.0,3.0,2.0
403,Tanner Boser,1991-08-02,187.96,205.0,190.5,Orthodox,21,10,1,4.7,0.52,2.75,0.58,0.0,0.0,0.63,0.0,http://www.ufcstats.com/fighter-details/04c8b08b16a5b99e,0.0,93.5,38.5,95.0,38.5,0.0,0.0,1.0,1.0,3.0,900.0,0.0,0.0,68.0,18.0,15.5,8.5,10.5,8.0,80.0,32.5,0.0,0.0
404,Steve Bosse,1981-07-29,180.34,205.0,182.88,Orthodox,12,2,0,5.99,0.52,5.38,0.5,0.92,0.33,1.0,0.0,http://www.ufcstats.com/fighter-details/e023fa2e648ea0f1,0,7,3,7,3,0,0,0,0,1.0,52,0,0,4,1,3,1,1,1,7,3,0,0
